domain,company,kind,source
(none),(Independent),free_provider,builtin
030.io,NetEase,company,cncf-gitdm-single
0x80.net,Airtable,company,cncf-gitdm-single
0xcafebabe.co.uk,Sky UK,company,cncf-gitdm-single
123-edv.de,Basler,company,cncf-gitdm-single
126.com,(Independent),free_provider,builtin
163.com,Net EASE,company,gitdm
1und1.de,1&1 IONOS,company,cncf-gitdm
21viacloud.com,21viacloud,company,gitdm
2color.me,OptioPay,company,cncf-gitdm-single
2k36.org,Canary,company,cncf-gitdm-single
2ndquadrant.com,2ndQuadrant,company,cncf-gitdm-single
2thestars.ru,Pathgather,company,cncf-gitdm-single
360.cn,Qihoo 360 Technology,company,gitdm
360incentives.com,360insights,company,cncf-gitdm-single
3ds.com,Dassault Systèmes,company,gitdm
3ofcoins.net,Three of Coins,company,cncf-gitdm-single
3pillarglobal.com,3Pillar,company,cncf-gitdm-single
42lines.net,42 Lines,company,cncf-gitdm-single
4angle.com,Capita,company,cncf-gitdm-single
4fs.no,Red Hat,company,cncf-gitdm-single
4loops.com,Four Loops Solutions,company,gitdm
4one.io,Stripe,company,cncf-gitdm-single
4play.by,FOnline 2,company,cncf-gitdm-single
4sh.fr,4SH,company,cncf-gitdm-single
521dimensions.com,521 Dimensions,company,cncf-gitdm-single
52exe.cn,Alibaba Group,company,cncf-gitdm-single
5etech.eu,5e Technologies,company,gitdm
6bit.com,ProdataKey,company,cncf-gitdm-single
6wind.com,6WIND,company,gitdm
8d.com,8D Technologies,company,gitdm
8gears.com,8gears,company,cncf-gitdm-single
99cloud.net,99cloud,company,gitdm
9elements.com,9elements,company,cncf-gitdm-single
a10networks.com,A10 Networks,company,gitdm
aakash.me,Google,company,cncf-gitdm-single
aas.io,MapD,company,cncf-gitdm-single
ab.jp.nec.com,NEC,company,cncf-gitdm-single
abahgat.com,IPsoft,company,cncf-gitdm-single
abc.shop.edu.cn,Netease Game,company,cncf-gitdm-single
abesis.fr,gandi.net,company,cncf-gitdm-single
ableton.com,Ableton,company,cncf-gitdm-single
absint.com,AbsInt Angewandte Informatik,company,cncf-gitdm
