slug,stratum,size_class,old_mask,old_files,new_files,delta_files,old_bytes,new_bytes,delta_bytes,head_paths_are_a_superset,blob_map_tokenized,blob_map_identity,hist_new_paths,narrowed_path,population
akarnokd__rxjava2extensions,community,S,\.java$,573,573,0,3444698,3444698,0,1,6097,14402,0,,unchanged
alibaba__fast-modeling-language,company-owned,S,\.java$,1615,1615,0,6380824,6380824,0,1,2715,604,0,,unchanged
alibaba__tengine,company-owned,S,\.[ch]$,632,639,7,10240206,10326080,85874,1,17466,6881,28,,gainer
alibaba__zvec,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,1258,1258,0,15837260,15837260,0,1,4840,1265,0,,unchanged
allegro__hermes,community,S,\.java$,1531,1531,0,4730089,4730089,0,1,12315,315460,0,,unchanged
amd__esmi-oob-library,company-owned,S,\.[ch]$,23,23,0,658277,658277,0,1,537,63,0,,unchanged
amd__zendnn-tensorflow-plugin,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,198,199,1,2063106,2068262,5156,1,740,945,1,,gainer
andersbakken__rtags,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,181,181,0,1146066,1146066,0,1,15491,3916,1,,unchanged
ankitects__anki,community,S,\.rs$,407,408,1,2805072,2817467,12395,1,8398,50057,3,,gainer
apache__age,foundation,S,\.[ch]$,97,119,22,2054779,2167863,113084,1,2889,5928,69,,gainer
apache__axis-axis2-java-core,foundation,S,\.java$,2956,2956,0,20760746,20760746,0,1,79910,47332,0,,unchanged
apache__beam,foundation,M,\.java$,7004,7010,6,56972859,56985819,12960,1,112860,426135,10,,gainer
apache__commons-digester,foundation,S,\.java$,316,316,0,1374959,1374959,0,1,8424,2891,0,,unchanged
apache__commons-jci,foundation,S,\.java$,78,78,0,276709,276709,0,1,1586,1712,0,,unchanged
apache__commons-statistics,foundation,S,\.java$,354,354,0,3653106,3653106,0,1,3598,1668,0,,unchanged
apache__doris,foundation,M,\.java$,8000,13030,5030,73993471,146001339,72007868,1,118944,260808,130554,,gainer
apache__httpd,foundation,M,\.[ch]$,563,563,0,11974147,11974147,0,1,65060,259819,99,,unchanged
apache__incubator-seata,foundation,S,\.java$,2913,2913,0,18571710,18571710,0,1,24271,9394,0,,unchanged
apache__incubator-singa,foundation,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,203,211,8,2763732,2820065,56333,1,4075,5888,22,,gainer
apache__roller,foundation,S,\.java$,659,659,0,3646166,3646166,0,1,18337,22772,0,,unchanged
apache__ws-xmlschema,foundation,S,\.java$,228,228,0,1630759,1630759,0,1,464,80155,0,,unchanged
armory3d__armory,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,562,562,0,6206580,6206580,0,1,640,25631,0,,unchanged
aws__amazon-redshift-odbc-driver,company-owned,S,\.[ch]$,398,489,91,7607154,10139242,2532088,1,9621,3493,535,,gainer
aws__aws-iot-fleetwise-edge,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,340,348,8,3550415,3596425,46010,1,2327,1628,17,,gainer
aws__aws-mysql-odbc,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,742,748,6,28155761,28206616,50855,1,11748,4140,53,,gainer
awsdocs__aws-doc-sdk-examples,community,S,\.java$,1569,2731,1162,7141212,10469363,3328151,1,13170,79192,7113,,gainer
awslabs__aurora-dsql-connectors,company-owned,S,\.java$,26,43,17,214798,313172,98374,1,185,2603,55,,gainer
awslabs__aws-mysql-jdbc,company-owned,S,\.java$,783,783,0,14198813,14198813,0,1,2624,467,0,,unchanged
azerothcore__azerothcore-wotlk,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,2279,2279,0,36933543,36933543,0,1,54123,35883,0,,unchanged
biezhi__blade,community,S,\.java$,291,291,0,923574,923574,0,1,3133,615,0,,unchanged
bitlbee__bitlbee,community,S,\.[ch]$,126,126,0,1180555,1180555,0,1,6380,2387,15,,unchanged
brianfrankcooper__ycsb,community,S,\.java$,233,233,0,1414875,1414875,0,1,1695,5023,0,,unchanged
buchen__portfolio,community,S,\.java$,1542,1542,0,24187074,24187074,0,1,21159,26985,0,,unchanged
bytecodealliance__componentizejs,community,S,\.rs$,8,10,2,149241,170325,21084,1,158,1573,46,,gainer
bytedance__android-tsan-sample,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,2,2,0,4248,4248,0,1,2,46,0,,unchanged
bytedance__codelocator,company-owned,S,\.java$,192,192,0,901690,901690,0,1,425,819,0,,unchanged
bytedance__volclava,company-owned,S,\.[ch]$,296,296,0,5968352,5968352,0,1,1698,763,0,,unchanged
canonical__harvest,company-owned,S,\.rs$,105,105,0,1788830,1788830,0,1,664,1069,0,,unchanged
casey__just,community,S,\.rs$,265,265,0,1342589,1342589,0,1,6253,10243,0,,unchanged
catchorg__catch2,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,417,417,0,2779957,2779957,0,1,12578,6883,0,,unchanged
cgdb__cgdb,community,S,(?i)\.(c|c\+\+|cc|cp|cpp|cxx|h|h\+\+|hh|hpp|hxx|java|rs|tcc)$,85,85,0,1099541,1099541,0,1,3733,3295,0,,unchanged
citusdata__citus,community,S,\.[ch]$,538,538,0,8570720,8570720,0,1,20208,30891,0,,unchanged
cjcliffe__cubicsdr,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,236,236,0,3004861,3004861,0,1,5703,1182,0,,unchanged
cjdelisle__cjdns,community,S,\.[ch]$,461,534,73,2335309,2734788,399479,1,14528,7529,971,,gainer
cloudflare__wildcard,company-owned,S,\.rs$,7,7,0,74402,74402,0,1,20,3254,0,,unchanged
confluentinc__common-docker,company-owned,S,\.java$,10,10,0,45212,45212,0,1,348,74433,0,,unchanged
confluentinc__csid-event-lineage,company-owned,S,\.java$,123,123,0,509695,509695,0,1,551,769,0,,unchanged
containers__composefs,foundation,S,\.[ch]$,24,24,0,328465,328465,0,1,1254,615,38,,unchanged
csound__csound,community,S,\.[ch]$,625,723,98,9494122,10509859,1015737,1,38516,31321,5476,,gainer
cuberite__cuberite,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,981,981,0,13065500,13065500,0,1,43139,6862,21,,unchanged
dataease__dataease,community,S,\.java$,1040,1040,0,3000256,3000256,0,1,16446,60549,0,,unchanged
datafuselabs__databend,community,M,\.rs$,3867,3872,5,33811134,33857397,46263,1,155250,60358,7,,gainer
datasketches__sketches-core,foundation,S,\.java$,621,621,0,6278271,6278271,0,1,17850,21189,0,,unchanged
dioxuslabs__dioxus,community,S,\.rs$,878,878,0,6729808,6729808,0,1,28644,9948,0,,unchanged
djcb__mu,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,127,127,0,1227089,1227089,0,1,7699,8412,0,,unchanged
dolphin-emu__dolphin,community,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,2966,2966,0,32401619,32401619,0,1,131711,57976,4241,,unchanged
dpdk__dpdk,community,M,\.[ch]$,5380,5381,1,95611161,95611274,113,1,128483,37992,1,,gainer
dropwizard__metrics,community,S,\.java$,432,432,0,1773263,1773263,0,1,5618,23960,0,,unchanged
duckdb__duckdb,community,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,4680,4681,1,69628568,69652542,23974,1,217254,80750,902,,gainer
dunst-project__dunst,community,S,\.[ch]$,91,91,0,1083047,1083047,0,1,3919,1390,0,,unchanged
eclipse-ee4j__glassfish,company-owned,S,\.java$,14407,14407,0,68899273,68899273,0,1,59527,168966,0,,unchanged
eclipse-ee4j__mojarra,foundation,S,\.java$,1307,1307,0,9345572,9345572,0,1,19993,13899,0,,unchanged
elastic__ebpf,company-owned,S,\.[ch]$,503,610,107,24819562,26799748,1980186,1,1672,2948,135,,gainer
elastic__elasticsearch,company-owned,M,\.java$,32352,32391,39,303958281,314816758,10858477,1,748117,222397,293,,gainer
elfmz__far2l,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,1775,1775,0,24848735,24848735,0,1,22011,7563,0,,unchanged
erikd__libsndfile,community,S,\.[ch]$,202,209,7,2463032,2503930,40898,1,5000,4371,79,,gainer
facebook__fbthrift,company-owned,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,5622,10059,4437,59081082,94128184,35047102,1,116001,180280,41338,,gainer
facebook__sapling,company-owned,M,\.rs$,3730,4532,802,33732834,41470318,7737484,1,95710,377396,29491,,gainer
facebookincubator__qemu-wearables,company-owned,M,\.[ch]$,6278,6296,18,72681026,72823334,142308,1,223919,60629,224,,gainer
falcosecurity__falco,foundation,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,151,151,0,967482,967482,0,1,5250,8656,0,,unchanged
fastled__fastled,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,3003,3033,30,23302517,23875312,572795,1,49095,317791,130,,gainer
foundry-rs__foundry,community,S,\.rs$,882,882,0,18449117,18449117,0,1,29367,11998,0,,unchanged
freenet__fred,community,M,\.java$,1364,1364,0,10207377,10207377,0,1,61475,7827,0,,unchanged
gitblit__gitblit,community,S,\.java$,556,556,0,4277815,4277815,0,1,8257,5818,0,,unchanged
gnome__gtk,foundation,M,\.[ch]$,2901,2909,8,38513261,38552405,39144,1,188090,185469,37,,gainer
goldendict__goldendict,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,552,582,30,5740317,5911067,170750,1,6220,5185,79,,gainer
google__binexport,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,3343,3349,6,32339496,32397893,58397,1,9375,848,82,,gainer
google__googlesql,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,1259,1409,150,30973284,32686410,1713126,1,14462,11291,1062,,gainer
google__highway,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,299,299,0,7589110,7589110,0,1,8892,4521,0,,unchanged
google__j2cl,company-owned,S,\.java$,2661,2664,3,12094588,12095121,533,1,25331,141946,3,,gainer
google__nearby,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,2906,2906,0,134461392,134461392,0,1,27991,6141,239,,unchanged
google__obr,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,127,127,0,23943489,23943489,0,1,309,116,0,,unchanged
google__walt,company-owned,S,\.java$,41,61,20,268282,323483,55201,1,355,497,29,,gainer
google__yggdrasil-decision-forests,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,580,581,1,7011465,7036449,24984,1,5755,5466,6,,gainer
googleapis__cpp-bigquery-odbc,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,234,234,0,3772967,3772967,0,1,4852,1552,0,,unchanged
googleapis__google-cloud-java,company-owned,M,\.java$,131366,131366,0,2245547278,2245547278,0,1,1424580,694827,0,,unchanged
googlemaps__google-maps-services-java,community,S,\.java$,169,169,0,750886,750886,0,1,1931,5707,0,,unchanged
graknlabs__grakn,community,S,\.rs$,598,598,0,6819936,6819936,0,1,12501,75548,55410,,unchanged
greptimeteam__greptimedb,community,S,\.rs$,2151,2151,0,33291516,33291516,0,1,46852,38785,0,,unchanged
grpc__grpc,foundation,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,4557,4561,4,47696817,47825015,128198,1,146134,282334,935,,gainer
huanghaibin-dev__calendarview,community,S,\.java$,94,94,0,708304,708304,0,1,1130,971,0,,unchanged
hzeller__rpi-rgb-led-matrix,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,65,65,0,765467,765467,0,1,1287,1297,0,,unchanged
influxdata__influxdb,company-owned,M,\.rs$,999,999,0,13844999,13844999,0,1,40705,124142,121,,unchanged
intel__intel-extension-for-tensorflow,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,1091,1091,0,10479570,10479570,0,1,3991,25400,0,,unchanged
intel__migtd,company-owned,S,\.rs$,191,191,0,1770273,1770273,0,1,1200,1646,0,,unchanged
intel__qatzip,company-owned,S,\.[ch]$,24,24,0,1086125,1086125,0,1,962,828,0,,unchanged
intel__tsffs,company-owned,S,\.rs$,64,96,32,831490,1375868,544378,1,2523,3761,308,,gainer
java-native-access__jna,community,S,\.java$,586,889,303,8149487,9854459,1704972,1,7974,63475,3580,,gainer
javahongxi__whatsmars,community,S,\.java$,622,622,0,1649530,1649530,0,1,5524,5481,0,,unchanged
jetbrains__intellij-obsolete-plugins,company-owned,S,\.java$,6776,6776,0,20754850,20754850,0,1,7198,6252,0,,unchanged
jetbrains__teamcity-sonarqubeplugin,company-owned,S,\.java$,90,90,0,318830,318830,0,1,909,646,0,,unchanged
julyighor__qtbitcointrader,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,166,166,0,1215143,1215143,0,1,3843,1849,0,,unchanged
kalessil__phpinspectionsea,community,S,\.java$,462,462,0,1933836,1933836,0,1,10437,7033,0,,unchanged
kamailio__kamailio,community,M,\.[ch]$,2755,2764,9,32099600,32545268,445668,1,79716,53722,154,,gainer
kdab__hotspot,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,145,145,0,852581,852581,0,1,3382,1276,0,,unchanged
kde__krita,foundation,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,6202,6215,13,34748875,34881381,132506,1,247672,145419,201,,gainer
kicad__kicad-source-mirror,community,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,8670,8671,1,137393488,137400923,7435,1,247486,85579,3,,gainer
languagetool-org__languagetool,community,M,\.java$,2052,2052,0,12813677,12813677,0,1,42318,119510,11,,unchanged
lealone__lealone,community,S,\.java$,1532,1532,0,10996189,10996189,0,1,33339,2677,4,,unchanged
legrandin__pycryptodome,community,S,\.[ch]$,112,114,2,3070446,3074461,4015,1,1585,7950,3,,gainer
leozide__leocad,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,157,157,0,1949802,1949802,0,1,11022,2351,0,,unchanged
linkedin__avro-util,company-owned,S,\.java$,891,891,0,6888212,6888212,0,1,6535,1298,0,,unchanged
lukas-krecan__shedlock,community,S,\.java$,409,409,0,988334,988334,0,1,4064,15885,0,,unchanged
m-labs__smoltcp,community,S,\.rs$,120,120,0,2081961,2081961,0,1,4230,531,0,,unchanged
microcks__microcks,foundation,S,\.java$,568,568,0,3511654,3511654,0,1,3953,5663,0,,unchanged
microsoft__winget-cli,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,1004,1004,0,7684702,7684702,0,1,13508,13523,0,,unchanged
miguelbalboa__rfid,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,6,6,0,136672,136672,0,1,181,485,0,,unchanged
moarvm__moarvm,community,S,\.[ch]$,407,407,0,17507773,17507773,0,1,25924,8701,0,,unchanged
mockito__mockito,community,S,\.java$,1004,1004,0,3598185,3598185,0,1,20476,14669,0,,unchanged
moneymanagerex__moneymanagerex,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,447,447,0,4154978,4154978,0,1,31212,23313,0,,unchanged
mongodb__mongo-rust-driver,company-owned,S,\.rs$,364,364,0,3050761,3050761,0,1,9141,9607,0,,unchanged
nationalsecurityagency__ghidra,community,S,\.java$,15781,16209,428,103218241,112272333,9054092,1,76552,20539,4144,,gainer
netflix__governator,company-owned,S,\.java$,404,404,0,1070897,1070897,0,1,2784,3046,0,,unchanged
nix-rust__nix,community,S,\.rs$,119,120,1,1615256,1615803,547,1,4979,1794,18,,gainer
nvidia__edk2-nvidia,company-owned,S,\.[ch]$,1061,1082,21,12177319,12813942,636623,1,6304,4345,50,,gainer
nvidia__libvirt,company-owned,M,\.[ch]$,1170,1170,0,25503520,25503520,0,1,105648,153113,0,,unchanged
nvidia__nvidia-settings,company-owned,S,\.[ch]$,210,210,0,5246438,5246438,0,1,3586,2201,0,,unchanged
nvidia__opensma,company-owned,S,\.[ch]$,1137,1618,481,15190017,19433459,4243442,1,1725,2799,1023,,gainer
nvidia__physicsnemo-serve,company-owned,S,\.rs$,121,121,0,3193711,3193711,0,1,208,733,44,,unchanged
oceanbase__oceanbase,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,14043,14045,2,288061047,288074931,13884,1,227443,24986,122,,gainer
official-stockfish__stockfish,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,72,72,0,898413,898413,0,1,15956,1403,0,,unchanged
ohler55__ox,community,S,\.[ch]$,40,40,0,420820,420820,0,1,1098,1722,0,,unchanged
olimex__olinuxino,community,S,\.[ch]$,224,245,21,1114948,1194841,79893,1,274,3096,27,,gainer
open-mpi__ompi,community,M,\.[ch]$,2711,2712,1,22602945,22604005,1060,1,147600,59006,1813,,gainer
openrc__openrc,community,S,\.[ch]$,61,61,0,498515,498515,0,1,3447,7495,0,,unchanged
osquery__osquery,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,1562,1566,4,12061911,12131275,69364,1,19330,12084,11,,gainer
ossec__ossec-hids,community,S,\.[ch]$,580,586,6,5643560,5665037,21477,1,10444,7213,9,,gainer
owlcs__owlapi,community,S,\.java$,1835,1835,0,10551360,10551360,0,1,87775,15606,0,,unchanged
pagehelper-org__mybatis-pagehelper,community,S,\.java$,164,164,0,640207,640207,0,1,1825,1315,0,,unchanged
pedrovgs__lynx,community,S,\.java$,37,37,0,134093,134093,0,1,322,290,0,,unchanged
powerdns__pdns,community,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,1121,1137,16,11362591,11523829,161238,1,50598,36734,245,,gainer
proot-me__proot,community,S,\.[ch]$,159,159,0,782590,782590,0,1,3758,1498,0,,unchanged
protegeproject__protege,community,S,\.java$,1498,1498,0,4316246,4316246,0,1,14103,4073,0,,unchanged
prql__prql,community,S,\.rs$,114,122,8,1329479,1352393,22914,1,5727,16668,61,,gainer
pygame__pygame,community,S,\.[ch]$,137,137,0,2918795,2918795,0,1,6738,15012,7,,unchanged
qualcomm__qcom-embedded-power-measurement,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,298,298,0,1000861,1000861,0,1,1308,728,0,,unchanged
qualcomm__qidk,company-owned,S,\.[ch]$,32,231,199,6685222,7900227,1215005,1,438,3769,1306,,gainer
rbspy__rbspy,community,S,\.rs$,170,170,0,15912747,15912747,0,1,2319,1084,0,,unchanged
recastnavigation__recastnavigation,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,131,131,0,6898544,6898544,0,1,3284,5412,0,,unchanged
redis__redis-vl-java,company-owned,S,\.java$,256,256,0,2059537,2059537,0,1,623,314,0,,unchanged
renesas__rz-fsp-examples,company-owned,S,\.[ch]$,2681,2682,1,40332669,40341974,9305,1,3641,5498,1,,gainer
renesas__rza-initial-program-loader,company-owned,S,\.[ch]$,2579,2579,0,14030011,14030011,0,1,2645,1481,0,,unchanged
rust-lang__book,foundation,S,\.rs$,654,654,0,406923,406923,0,1,2416,23804,0,,unchanged
rust-lang__rust-analyzer,foundation,M,\.rs$,1484,1484,0,17455596,17455596,0,1,81266,36315,0,,unchanged
seladb__pcapplusplus,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,423,423,0,6501619,6501619,0,1,8069,4264,0,,unchanged
servo__servo,community,M,\.rs$,1662,1668,6,20974702,21003546,28844,1,139502,831822,833,,gainer
smorodov__multitarget-tracker,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,282,282,0,4026658,4026658,0,1,3900,1391,0,,unchanged
spring-projects__spring-framework,community,M,\.java$,9258,9258,0,53134078,53134078,0,1,203724,31247,0,,unchanged
starship__starship,community,S,\.rs$,257,257,0,1672757,1672757,0,1,4583,13405,0,,unchanged
sumatrapdfreader__sumatrapdf,community,S,\.[ch]$,1796,2203,407,45918485,60234145,14315660,1,45060,93487,52290,,gainer
supertuxkart__stk-code,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,2538,2544,6,36099865,36189410,89545,1,68761,24569,58,,gainer
suse__pam-config,company-owned,S,\.[ch]$,71,71,0,348439,348439,0,1,899,4784,0,,unchanged
suse__suse-kabi-tools,company-owned,S,\.rs$,23,23,0,314339,314339,0,1,630,168,0,,unchanged
switchbrew__libnx,community,S,\.[ch]$,392,392,0,3785277,3785277,0,1,5470,1922,0,,unchanged
sysstat__sysstat,community,S,\.[ch]$,71,71,0,2507847,2507847,0,1,4582,9620,0,,unchanged
taosdata__tdengine,community,M,\.[ch]$,1496,1969,473,39322554,47556360,8233806,1,173055,191577,34162,,gainer
telefonicaid__fiware-cygnus,company-owned,S,\.java$,202,202,0,3568484,3568484,0,1,4939,9533,0,,unchanged
tencent__tad-sim,company-owned,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,3236,3236,0,39494898,39494898,0,1,3267,8241,0,,unchanged
tencent__tencentkona-21,company-owned,M,\.java$,50663,58748,8085,383715528,492152618,108437090,1,90592,56673,29324,,gainer
tencent__tendbcluster-tdbctl,company-owned,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,3423,3425,2,73406031,73410610,4579,1,279826,270528,3461,,gainer
tencent__tendbcluster-tendb,company-owned,M,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,6084,6954,870,115172188,120238367,5066179,1,279535,270224,3631,,gainer
texasinstruments__simplelink-zephyr,company-owned,M,\.[ch]$,9913,9972,59,77646114,77916749,270635,1,226382,283566,252,,gainer
timmolter__xchange,community,S,\.java$,4235,4235,0,10554982,10554982,0,1,65027,20722,0,,unchanged
tomaka__glutin,community,S,\.rs$,51,51,0,391230,391230,0,1,3353,1067,2,,unchanged
tonhowtf__omniget,community,S,\.rs$,510,510,0,6537405,6537405,0,1,2909,5277,0,,unchanged
torvalds__linux,foundation,L,\.[ch]$,64536,65039,503,1452929491,1459620347,6690856,1,2746113,482024,5514,,gainer
tremor-rs__tremor-runtime,foundation,S,\.rs$,436,436,0,4387511,4387511,0,1,17248,14219,11,,unchanged
unclebob__fitnesse,community,S,\.java$,1202,1202,0,3554094,3554094,0,1,23715,13344,0,,unchanged
unicorn-engine__unicorn,community,S,\.[ch]$,595,674,79,17358832,18076940,718108,1,6765,4726,726,,gainer
util-linux__util-linux,community,S,\.[ch]$,619,619,0,6836699,6836699,0,1,28248,34348,0,,unchanged
vipshop__saturn,company-owned,S,\.java$,552,552,0,2558320,2558320,0,1,6048,2825,0,,unchanged
wereturtle__ghostwriter,foundation,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,180,180,0,1376567,1376567,0,1,2225,5770,48,,unchanged
wisk__medusa,community,S,\.(c|cc|cp|cpp|cxx|h|hh|hpp)$,312,312,0,10014354,10014354,0,1,6648,1491,0,,unchanged
wyvernlang__wyvern,community,S,\.java$,362,362,0,4071822,4071822,0,1,10025,5004,27,,unchanged
y2z__monolith,community,S,\.rs$,61,61,0,342414,342414,0,1,955,510,0,,unchanged
youki-dev__youki,foundation,S,\.rs$,332,332,0,2153646,2153646,0,1,5225,7661,0,,unchanged
zerbea__hcxdumptool,community,S,\.[ch]$,10,10,0,301323,301323,0,1,1779,815,0,,unchanged
