# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-13 by select_corpus.py — 1972 projects; labels from control facts
# size_class: S < 30k commits | M 30k-150k | L > 150k
tensorflow	https://github.com/tensorflow/tensorflow.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
claw-code	https://github.com/ultraworkers/claw-code.git	community	\.rs$	S
scrcpy	https://github.com/Genymobile/scrcpy.git	community	\.[ch]$	S
clash-verge-rev	https://github.com/clash-verge-rev/clash-verge-rev.git	community	\.rs$	S
cc-switch	https://github.com/farion1231/cc-switch.git	community	\.rs$	S
hello-algo	https://github.com/krahets/hello-algo.git	community	\.java$	S
llama-cpp	https://github.com/ggml-org/llama.cpp.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
react-native	https://github.com/react/react-native.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
react-native	https://github.com/react/react-native.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
codex	https://github.com/openai/codex.git	community	\.rs$	S
rustdesk	https://github.com/rustdesk/rustdesk.git	community	\.rs$	S
electron	https://github.com/electron/electron.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
godot	https://github.com/godotengine/godot.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
tauri	https://github.com/tauri-apps/tauri.git	community	\.rs$	S
deno	https://github.com/denoland/deno.git	community	\.rs$	S
bun	https://github.com/oven-sh/bun.git	community	\.rs$	S
java-design-patterns	https://github.com/iluwatar/java-design-patterns.git	community	\.java$	S
ruview	https://github.com/ruvnet/RuView.git	community	\.rs$	S
stirling-pdf	https://github.com/Stirling-Tools/Stirling-PDF.git	community	\.java$	S
opencv	https://github.com/opencv/opencv.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
bitcoin	https://github.com/bitcoin/bitcoin.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
zed	https://github.com/zed-industries/zed.git	community	\.rs$	M
uv	https://github.com/astral-sh/uv.git	community	\.rs$	S
mall	https://github.com/macrozheng/mall.git	community	\.java$	S
spring-boot	https://github.com/spring-projects/spring-boot.git	community	\.java$	M
