# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-14 by select_corpus.py sample — 400 projects drawn, target 400, seed 20261110
# Stratified by (stratum, language, size_class): a floor of 2 per cell, then largest-remainder proportional.
# size_class: S < 30k commits | M 30k-150k | L > 150k
netbsd__src	https://github.com/NetBSD/src.git	community	\.[ch]$	L
openbsd__src	https://github.com/openbsd/src.git	community	\.[ch]$	L
wine-mirror__wine	https://github.com/wine-mirror/wine.git	community	\.[ch]$	L
frrouting__frr	https://github.com/FRRouting/frr.git	community	\.[ch]$	M
gnome__glib	https://github.com/GNOME/glib.git	community	\.[ch]$	M
libreswan__libreswan	https://github.com/libreswan/libreswan.git	community	\.[ch]$	M
mackyle__sqlite	https://github.com/mackyle/sqlite.git	community	\.[ch]$	M
performancecopilot__pcp	https://github.com/performancecopilot/pcp.git	community	\.[ch]$	M
ring-lang__ring	https://github.com/ring-lang/ring.git	community	\.[ch]$	M
adaway__adaway	https://github.com/AdAway/AdAway.git	community	\.[ch]$	S
aol__moloch	https://github.com/arkime/arkime.git	community	\.[ch]$	S
armmbed__littlefs	https://github.com/littlefs-project/littlefs.git	community	\.[ch]$	S
buserror__simavr	https://github.com/buserror/simavr.git	community	\.[ch]$	S
cc65__cc65	https://github.com/cc65/cc65.git	community	\.[ch]$	S
cgdb__cgdb	https://github.com/cgdb/cgdb.git	community	\.[ch]$	S
crosspoint-reader__crosspoint-reader	https://github.com/crosspoint-reader/crosspoint-reader.git	community	\.[ch]$	S
csound__csound	https://github.com/csound/csound.git	community	\.[ch]$	S
cucumber__gherkin	https://github.com/cucumber/gherkin.git	community	\.[ch]$	S
derf__feh	https://github.com/derf/feh.git	community	\.[ch]$	S
emweb__wt	https://github.com/emweb/wt.git	community	\.[ch]$	S
fareedkhan-dev__kimi-k3-in-c	https://github.com/FareedKhan-dev/kimi-k3-in-c.git	community	\.[ch]$	S
flatpak__flatpak	https://github.com/flatpak/flatpak.git	community	\.[ch]$	S
freedomben__rtl8188ce-linux-driver	https://github.com/FreedomBen/rtl8188ce-linux-driver.git	community	\.[ch]$	S
gittup__tup	https://github.com/gittup/tup.git	community	\.[ch]$	S
greatscottgadgets__hackrf	https://github.com/greatscottgadgets/hackrf.git	community	\.[ch]$	S
greatscottgadgets__ubertooth	https://github.com/greatscottgadgets/ubertooth.git	community	\.[ch]$	S
immediate-mode-ui__nuklear	https://github.com/Immediate-Mode-UI/Nuklear.git	community	\.[ch]$	S
jesserayadkins__lily	https://github.com/FascinatedBox/lily.git	community	\.[ch]$	S
joyent__smartos-live	https://github.com/TritonDataCenter/smartos-live.git	community	\.[ch]$	S
liballeg__allegro5	https://github.com/liballeg/allegro5.git	community	\.[ch]$	S
libevent__libevent	https://github.com/libevent/libevent.git	community	\.[ch]$	S
libgd__libgd	https://github.com/libgd/libgd.git	community	\.[ch]$	S
libssh2__libssh2	https://github.com/libssh2/libssh2.git	community	\.[ch]$	S
libvnc__libvncserver	https://github.com/LibVNC/libvncserver.git	community	\.[ch]$	S
lua__lua	https://github.com/lua/lua.git	community	\.[ch]$	S
lxc__lxc	https://github.com/lxc/lxc.git	community	\.[ch]$	S
magnumripper__johntheripper	https://github.com/openwall/john.git	community	\.[ch]$	S
mattn__go-sqlite3	https://github.com/mattn/go-sqlite3.git	community	\.[ch]$	S
mcmilk__7-zip-zstd	https://github.com/mcmilk/7-Zip-zstd.git	community	\.[ch]$	S
merbanan__rtl-433	https://github.com/merbanan/rtl_433.git	community	\.[ch]$	S
nodemcu__nodemcu-firmware	https://github.com/nodemcu/nodemcu-firmware.git	community	\.[ch]$	S
nothings__stb	https://github.com/nothings/stb.git	community	\.[ch]$	S
olikraus__u8g2	https://github.com/olikraus/u8g2.git	community	\.[ch]$	S
openhpc__ohpc	https://github.com/openhpc/ohpc.git	community	\.[ch]$	S
openssh__openssh-portable	https://github.com/openssh/openssh-portable.git	community	\.[ch]$	S
openvpn__openvpn-gui	https://github.com/OpenVPN/openvpn-gui.git	community	\.[ch]$	S
pg-strom__devel	https://github.com/heterodb/pg-strom.git	community	\.[ch]$	S
redcanaryco__atomic-red-team	https://github.com/redcanaryco/atomic-red-team.git	community	\.[ch]$	S
rubinius__rubinius	https://github.com/rubinius/rubinius.git	community	\.[ch]$	S
smealum__ctrulib	https://github.com/devkitPro/libctru.git	community	\.[ch]$	S
stephane-d__sgdk	https://github.com/Stephane-D/SGDK.git	community	\.[ch]$	S
synocommunity__spksrc	https://github.com/SynoCommunity/spksrc.git	community	\.[ch]$	S
uberguidoz__flipper	https://github.com/UberGuidoZ/Flipper.git	community	\.[ch]$	S
ufrisk__pcileech	https://github.com/ufrisk/pcileech.git	community	\.[ch]$	S
wesleykendall__mpitutorial	https://github.com/mpitutorial/mpitutorial.git	community	\.[ch]$	S
xiaojieonly__ehviewer-cn-sxj	https://github.com/xiaojieonly/Ehviewer_CN_SXJ.git	community	\.[ch]$	S
zerbea__hcxdumptool	https://github.com/ZerBea/hcxdumptool.git	community	\.[ch]$	S
zeromq__czmq	https://github.com/zeromq/czmq.git	community	\.[ch]$	S
libreoffice__core	https://github.com/LibreOffice/core.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
mysql__mysql-server	https://github.com/mysql/mysql-server.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
tensorflow__tensorflow	https://github.com/tensorflow/tensorflow.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
crawl__crawl	https://github.com/crawl/crawl.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
facebook__react-native	https://github.com/react/react-native.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
godotengine__godot	https://github.com/godotengine/godot.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
haiku__haiku	https://github.com/haiku/haiku.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
openmw__openmw	https://github.com/OpenMW/openmw.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
osgeo__gdal	https://github.com/OSGeo/gdal.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
redpanda-data__redpanda	https://github.com/redpanda-data/redpanda.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
amule-project__amule	https://github.com/amule-project/amule.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
andreasfertig__cppinsights	https://github.com/andreasfertig/cppinsights.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
aseprite__aseprite	https://github.com/aseprite/aseprite.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
computationalradiationphysics__picongpu	https://github.com/ComputationalRadiationPhysics/picongpu.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
cp-algorithms__cp-algorithms	https://github.com/cp-algorithms/cp-algorithms.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
dchapyshev__aspia	https://github.com/dchapyshev/aspia.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
dobiasd__functionalplus	https://github.com/Dobiasd/FunctionalPlus.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
doitsujin__dxvk	https://github.com/doitsujin/dxvk.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
drogonframework__drogon	https://github.com/drogonframework/drogon.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
dvorka__mindforger	https://github.com/dvorka/mindforger.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
espressif__arduino-esp32	https://github.com/espressif/arduino-esp32.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
flameshot-org__flameshot	https://github.com/flameshot-org/flameshot.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
flexible-collision-library__fcl	https://github.com/flexible-collision-library/fcl.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
gamefoundry__bsf	https://github.com/GameFoundry/B3DFramework.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
halide__halide	https://github.com/halide/Halide.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
huihut__interview	https://github.com/huihut/interview.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
ibob__dynamix	https://github.com/iboB/dynamix.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
imbs-hl__ranger	https://github.com/imbs-hl/ranger.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
ispc__ispc	https://github.com/ispc/ispc.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
kdab__hotspot	https://github.com/KDAB/hotspot.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
keepassxreboot__keepassxc	https://github.com/keepassxreboot/keepassxc.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
ledger__ledger	https://github.com/ledger/ledger.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
libigl__libigl	https://github.com/libigl/libigl.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
livegrep__livegrep	https://github.com/livegrep/livegrep.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
lltcggie__waifu2x-caffe	https://github.com/lltcggie/waifu2x-caffe.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
maaassistantarknights__maaassistantarknights	https://github.com/MaaAssistantArknights/MaaAssistantArknights.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
mltframework__shotcut	https://github.com/mltframework/shotcut.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
mosra__magnum	https://github.com/mosra/magnum.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
mstorsjo__fdk-aac	https://github.com/mstorsjo/fdk-aac.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
mwydmuch__vizdoom	https://github.com/Farama-Foundation/ViZDoom.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
nasa__fprime	https://github.com/nasa/fprime.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
networkprotocol__yojimbo	https://github.com/mas-bandwidth/yojimbo.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
nitroshare__nitroshare-desktop	https://github.com/nitroshare/nitroshare-desktop.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
nomic-ai__gpt4all	https://github.com/nomic-ai/gpt4all.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
notepad-plus-plus__notepad-plus-plus	https://github.com/notepad-plus-plus/notepad-plus-plus.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
official-stockfish__stockfish	https://github.com/official-stockfish/Stockfish.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
openfoam__openfoam-dev	https://github.com/OpenFOAM/OpenFOAM-dev.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
openstreetmap__osm2pgsql	https://github.com/osm2pgsql-dev/osm2pgsql.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
ossrs__srs	https://github.com/ossrs/srs.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
pov-ray__povray	https://github.com/POV-Ray/povray.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
rurban__smhasher	https://github.com/rurban/smhasher.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
s3fs-fuse__s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
sebastianstarke__ai4animation	https://github.com/sebastianstarke/AI4Animation.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
sipp__sipp	https://github.com/SIPp/sipp.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
sogou__workflow	https://github.com/sogou/workflow.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
solvespace__solvespace	https://github.com/solvespace/solvespace.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
sonic-pi-net__sonic-pi	https://github.com/sonic-pi-net/sonic-pi.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
spiderlabs__modsecurity	https://github.com/owasp-modsecurity/ModSecurity.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
stenzek__duckstation	https://github.com/stenzek/duckstation.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
su2code__su2	https://github.com/su2code/SU2.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
supertuxkart__stk-code	https://github.com/supertuxkart/stk-code.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
symless__synergy	https://github.com/symless/synergy.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
tasvideos__desmume	https://github.com/TASEmulators/desmume.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
tdlib__td	https://github.com/tdlib/td.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
transmission__transmission	https://github.com/transmission/transmission.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
vapoursynth__vapoursynth	https://github.com/vapoursynth/vapoursynth.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
vcvrack__rack	https://github.com/VCVRack/Rack.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
vslavik__poedit	https://github.com/vslavik/poedit.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
xapian__xapian	https://github.com/xapian/xapian.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
neo4j__neo4j	https://github.com/neo4j/neo4j.git	community	\.java$	M
opensearch-project__opensearch	https://github.com/opensearch-project/OpenSearch.git	community	\.java$	M
seleniumhq__selenium	https://github.com/SeleniumHQ/selenium.git	community	\.java$	M
trinodb__trino	https://github.com/trinodb/trino.git	community	\.java$	M
adyliu__jafka	https://github.com/adyliu/jafka.git	community	\.java$	S
aionnetwork__aion	https://github.com/aionnetwork/aion.git	community	\.java$	S
amitshekhariitbhu__fast-android-networking	https://github.com/amitshekhariitbhu/Fast-Android-Networking.git	community	\.java$	S
andre1299__tui-consolelauncher	https://github.com/fandreuz/TUI-ConsoleLauncher.git	community	\.java$	S
antennapod__antennapod	https://github.com/AntennaPod/AntennaPod.git	community	\.java$	S
athou__commafeed	https://github.com/Athou/commafeed.git	community	\.java$	S
bitcoinj__bitcoinj	https://github.com/bitcoinj/bitcoinj.git	community	\.java$	S
blusunrize__immersiveengineering	https://github.com/BluSunrize/ImmersiveEngineering.git	community	\.java$	S
bootique__bootique	https://github.com/bootique/bootique.git	community	\.java$	S
brianfrankcooper__ycsb	https://github.com/brianfrankcooper/YCSB.git	community	\.java$	S
caprica__vlcj	https://github.com/caprica/vlcj.git	community	\.java$	S
chat-sdk__chat-sdk-android	https://github.com/chat-sdk/chat-sdk-android.git	community	\.java$	S
chinabugotech__hutool	https://github.com/chinabugotech/hutool.git	community	\.java$	S
code4craft__webmagic	https://github.com/code4craft/webmagic.git	community	\.java$	S
col-e__recaf	https://github.com/Col-E/Recaf.git	community	\.java$	S
crate__crate	https://github.com/crate/crate.git	community	\.java$	S
dcm4che__dcm4che	https://github.com/dcm4che/dcm4che.git	community	\.java$	S
dimezis__blurview	https://github.com/Dimezis/BlurView.git	community	\.java$	S
dropwizard__dropwizard	https://github.com/dropwizard/dropwizard.git	community	\.java$	S
eclipse__eclipse-jdt-ls	https://github.com/eclipse-jdtls/eclipse.jdt.ls.git	community	\.java$	S
eirslett__frontend-maven-plugin	https://github.com/eirslett/frontend-maven-plugin.git	community	\.java$	S
elki-project__elki	https://github.com/elki-project/elki.git	community	\.java$	S
fasterxml__jackson-core	https://github.com/FasterXML/jackson-core.git	community	\.java$	S
fishercoder1534__leetcode	https://github.com/fishercoder1534/Leetcode.git	community	\.java$	S
googlemaps__google-maps-services-java	https://github.com/googlemaps/google-maps-services-java.git	community	\.java$	S
gyf-dev__immersionbar	https://github.com/gyf-dev/ImmersionBar.git	community	\.java$	S
hierynomus__sshj	https://github.com/hierynomus/sshj.git	community	\.java$	S
janishar__mit-deep-learning-book-pdf	https://github.com/janishar/mit-deep-learning-book-pdf.git	community	\.java$	S
javalite__activejdbc	https://github.com/javalite/javalite.git	community	\.java$	S
kestra-io__kestra	https://github.com/kestra-io/kestra.git	community	\.java$	S
listenzz__androidnavigation	https://github.com/listenzz/AndroidNavigation.git	community	\.java$	S
lucko__luckperms	https://github.com/LuckPerms/LuckPerms.git	community	\.java$	S
macrozheng__mall	https://github.com/macrozheng/mall.git	community	\.java$	S
megaease__easeagent	https://github.com/megaease/easeagent.git	community	\.java$	S
mybatis__spring-boot-starter	https://github.com/mybatis/spring-boot-starter.git	community	\.java$	S
mycatapache__mycat-server	https://github.com/MyCATApache/Mycat-Server.git	community	\.java$	S
openapitools__openapi-generator	https://github.com/OpenAPITools/openapi-generator.git	community	\.java$	S
oshi__oshi	https://github.com/oshi/oshi.git	community	\.java$	S
pedrovgs__lynx	https://github.com/pedrovgs/Lynx.git	community	\.java$	S
plantuml__plantuml	https://github.com/plantuml/plantuml.git	community	\.java$	S
primefaces__primefaces	https://github.com/primefaces/primefaces.git	community	\.java$	S
real-logic__aeron	https://github.com/aeron-io/aeron.git	community	\.java$	S
real-logic__agrona	https://github.com/aeron-io/agrona.git	community	\.java$	S
roaringbitmap__roaringbitmap	https://github.com/RoaringBitmap/RoaringBitmap.git	community	\.java$	S
rubenlagus__telegrambots	https://github.com/rubenlagus/TelegramBots.git	community	\.java$	S
siddhi-io__siddhi	https://github.com/siddhi-io/siddhi.git	community	\.java$	S
skylot__jadx	https://github.com/skylot/jadx.git	community	\.java$	S
testcontainers__testcontainers-java	https://github.com/testcontainers/testcontainers-java.git	community	\.java$	S
threeten__threetenbp	https://github.com/ThreeTen/threetenbp.git	community	\.java$	S
togglz__togglz	https://github.com/togglz/togglz.git	community	\.java$	S
torakiki__pdfsam	https://github.com/torakiki/pdfsam.git	community	\.java$	S
vector4wang__spring-boot-quick	https://github.com/vector4wang/spring-boot-quick.git	community	\.java$	S
vert-x3__vertx-web	https://github.com/vert-x3/vertx-web.git	community	\.java$	S
vigna__fastutil	https://github.com/vigna/fastutil.git	community	\.java$	S
widdix__aws-cf-templates	https://github.com/widdix/aws-cf-templates.git	community	\.java$	S
wildfirechat__android-chat	https://github.com/wildfirechat/android-chat.git	community	\.java$	S
winder__universal-g-code-sender	https://github.com/winder/Universal-G-Code-Sender.git	community	\.java$	S
blockstack__blockstack-core	https://github.com/stacks-network/stacks-core.git	community	\.rs$	M
ccxt__ccxt	https://github.com/ccxt/ccxt.git	community	\.rs$	M
zed-industries__zed	https://github.com/zed-industries/zed.git	community	\.rs$	M
altsysrq__proptest	https://github.com/proptest-rs/proptest.git	community	\.rs$	S
astral-sh__ruff	https://github.com/astral-sh/ruff.git	community	\.rs$	S
astrid-runtime__astrid	https://github.com/astrid-runtime/astrid.git	community	\.rs$	S
